train_number,date,sequence,is_origin,is_destination,station_code,station_name,scheduled_arrival_minutes,scheduled_departure_minutes,dwell_time_scheduled_mins,inter_station_scheduled_mins,platform_num,day_of_week,scheduled_hour,scheduled_departure_hour,delay_arrival_minutes,prev_delay_arrival,prev_delay_departure,delay_trend,journey_max_delay_so_far,journey_avg_delay_so_far,remaining_stations_count,remaining_scheduled_mins,next_delay,target_delay_delta
10004,2024-01-19,1,1,0,MUMBAI,MUMBAI Station,998,1002.286489434803,4.286489434803029,0.0,7,4,16,16,3,0,0,0,3,3,10,260,7.0,4.0
10004,2024-01-19,2,0,0,PUNE,PUNE Station,464,466.9722302960114,2.972230296011415,84.22682722159723,9,4,7,7,7,3,3,3,3,3,9,794,0.0,-7.0
10004,2024-01-19,3,0,0,JP,JP Station,648,652.156294652196,4.15629465219606,91.14825895512742,5,4,10,10,0,7,7,4,7,5,8,610,0.0,0.0
10004,2024-01-19,4,0,0,NGP,NGP Station,533,537.2653610341705,4.265361034170517,68.67357043520063,1,4,8,8,0,0,0,-7,7,3,7,725,0.0,0.0
10004,2024-01-19,5,0,0,AMI,AMI Station,953,955.165728281297,2.1657282812970173,107.44641273441357,8,4,15,15,0,0,0,0,7,2,6,305,0.0,0.0
10004,2024-01-19,6,0,0,HDP,HDP Station,1091,1093.5377330700878,2.5377330700878193,75.25141067046435,2,4,18,18,0,0,0,0,7,2,5,167,0.0,0.0
10004,2024-01-19,7,0,0,BPL,BPL Station,147,152.38371619830383,5.383716198303826,63.48779448994824,1,4,2,2,0,0,0,0,7,1,4,1111,0.0,0.0
10004,2024-01-19,8,0,0,AK,AK Station,92,97.59162144115139,5.591621441151389,60.14797271168614,5,4,1,1,0,0,0,0,7,1,3,1166,0.0,0.0
10004,2024-01-19,9,0,0,MAS,MAS Station,564,567.9733398618803,3.9733398618803246,104.00485906724838,5,4,9,9,0,0,0,0,7,1,2,694,1.0,1.0
10005,2024-01-15,1,1,0,MUMBAI,MUMBAI Station,1022,1027.274349984401,5.274349984400844,0.0,5,0,17,17,7,0,0,0,7,7,13,393,0.0,-7.0
10005,2024-01-15,2,0,0,NGP,NGP Station,429,429.97391707058773,0.9739170705877402,77.25528935848246,4,0,7,7,0,7,7,7,7,7,12,986,0.0,0.0
10005,2024-01-15,3,0,0,MAS,MAS Station,1008,1009.5956324575831,1.5956324575830658,20.436615727268872,2,0,16,16,0,0,0,-7,7,3,11,407,0.0,0.0
10005,2024-01-15,4,0,0,HDP,HDP Station,1260,1266.091121887323,6.091121887322981,125.10681684886409,7,0,21,21,0,0,0,0,7,2,10,155,4.0,4.0
10005,2024-01-15,5,0,0,BPL,BPL Station,1116,1118.5963583431067,2.5963583431065747,119.78090347768958,6,0,18,18,4,0,0,0,7,1,9,299,6.0,2.0
10005,2024-01-15,6,0,0,AMI,AMI Station,573,577.5876367302744,4.587636730274381,54.82521027153771,4,0,9,9,6,4,4,4,7,2,8,842,2.0,-4.0
10005,2024-01-15,7,0,0,BSL,BSL Station,37,39.79438326843722,2.7943832684372207,107.32141032085596,3,0,0,0,2,6,6,2,7,2,7,1378,2.0,0.0
10005,2024-01-15,8,0,0,JP,JP Station,124,126.70799460718378,2.707994607183781,118.3934595508749,2,0,2,2,2,2,2,-4,7,2,6,1291,5.0,3.0
10005,2024-01-15,9,0,0,AK,AK Station,1002,1004.2779924760804,2.2779924760804118,53.61399100940142,7,0,16,16,5,2,2,0,7,2,5,413,2.0,-3.0
10006,2024-01-16,1,1,0,PUNE,PUNE Station,482,483.1579189713146,1.1579189713145637,0.0,2,1,8,8,5,0,0,0,5,5,6,1134,3.0,-2.0
10006,2024-01-16,2,0,0,BPL,BPL Station,337,341.4529347344566,4.4529347344566315,57.87107359484855,5,1,5,5,3,5,5,5,5,5,5,1279,0.0,-3.0
10006,2024-01-16,3,0,0,NGP,NGP Station,1029,1033.784399671927,4.784399671927123,94.46672317392711,4,1,17,17,0,3,3,-2,5,4,4,587,0.0,0.0
10006,2024-01-16,4,0,0,JP,JP Station,483,486.3100341945016,3.3100341945016156,116.86197636215459,4,1,8,8,0,0,0,-3,5,2,3,1133,0.0,0.0
10006,2024-01-16,5,0,0,MAS,MAS Station,21,26.284686115904485,5.284686115904486,100.77820087369318,6,1,0,0,0,0,0,0,5,2,2,155,2.0,2.0
10006,2024-01-16,6,0,0,AK,AK Station,1405,1406.997397047545,1.9973970475450977,61.6959496096497,6,1,23,23,2,0,0,0,5,1,1,211,0.0,-2.0
10007,2024-01-17,1,1,0,PUNE,PUNE Station,1227,1229.269311924353,2.269311924352956,0.0,6,2,20,20,4,0,0,0,4,4,10,55,11.0,7.0
10007,2024-01-17,2,0,0,MUMBAI,MUMBAI Station,1316,1319.6771167979712,3.677116797971247,95.71960332376568,5,2,21,21,11,4,4,4,4,4,9,1406,4.0,-7.0
10007,2024-01-17,3,0,0,AMI,AMI Station,1105,1106.8551112651862,1.8551112651862247,53.90235798670962,6,2,18,18,4,11,11,7,11,7,8,177,4.0,0.0
10007,2024-01-17,4,0,0,BPL,BPL Station,1150,1152.5399254010172,2.5399254010172743,86.0407406259737,6,2,19,19,4,4,4,-7,11,6,7,132,5.0,1.0
10007,2024-01-17,5,0,0,AK,AK Station,175,177.0970469816554,2.0970469816554234,105.20502189270721,8,2,2,2,5,4,4,0,11,5,6,1107,4.0,-1.0
10007,2024-01-17,6,0,0,JP,JP Station,534,539.1623529309868,5.1623529309868506,85.73585746189671,2,2,8,8,4,5,5,1,11,5,5,748,2.0,-2.0
10007,2024-01-17,7,0,0,NGP,NGP Station,172,175.25459392658556,3.2545939265855606,91.787878382913,6,2,2,2,2,4,4,-1,11,5,4,1110,0.0,-2.0
10007,2024-01-17,8,0,0,HDP,HDP Station,1108,1110.7664841469118,2.7664841469118806,96.75205324150404,3,2,18,18,0,2,2,-2,11,4,3,174,4.0,4.0
10007,2024-01-17,9,0,0,MAS,MAS Station,1296,1299.8152247294456,3.8152247294456663,110.69841854161197,9,2,21,21,4,0,0,-2,11,4,2,1426,1.0,-3.0
10008,2024-01-18,1,1,0,PUNE,PUNE Station,734,734.0,0.0,0.0,7,3,12,12,4,0,0,0,4,4,11,253,5.0,1.0
10008,2024-01-18,2,0,0,MUMBAI,MUMBAI Station,335,339.5815928237737,4.581592823773672,109.40155555827454,4,3,5,5,5,4,4,4,4,4,10,652,9.0,4.0
10008,2024-01-18,3,0,0,BPL,BPL Station,1081,1084.7184697386197,3.7184697386195875,96.67324210573896,5,3,18,18,9,5,5,1,5,4,9,1346,1.0,-8.0
10008,2024-01-18,4,0,0,AK,AK Station,1186,1188.3330436626316,2.33304366263154,118.28502525224827,3,3,19,19,1,9,9,4,9,6,8,1241,0.0,-1.0
10008,2024-01-18,5,0,0,AMI,AMI Station,695,695.5516728808573,0.5516728808572218,95.61928641836398,8,3,11,11,0,1,1,-8,9,4,7,292,0.0,0.0
10008,2024-01-18,6,0,0,MAS,MAS Station,1224,1229.2440664672338,5.2440664672337745,107.35698073326364,4,3,20,20,0,0,0,-1,9,3,6,1203,0.0,0.0
10008,2024-01-18,7,0,0,BSL,BSL Station,1203,1207.8074559709512,4.807455970951122,103.44850037790187,4,3,20,20,0,0,0,0,9,3,5,1224,2.0,2.0
10008,2024-01-18,8,0,0,NGP,NGP Station,1222,1224.2569161356032,2.25691613560313,140.77382203474974,9,3,20,20,2,0,0,0,9,2,4,1205,0.0,-2.0
10008,2024-01-18,9,0,0,HDP,HDP Station,788,791.924323725452,3.9243237254520915,77.39174751940732,6,3,13,13,0,2,2,2,9,2,3,199,0.0,0.0
10009,2024-01-19,1,1,0,MUMBAI,MUMBAI Station,432,432.95594459469004,0.9559445946900311,0.0,8,4,7,7,0,0,0,0,0,0,8,1328,1.0,1.0
10009,2024-01-19,2,0,0,NGP,NGP Station,751,757.3847260231413,6.3847260231413125,78.52829683319811,1,4,12,12,1,0,0,0,0,0,7,1009,0.0,-1.0
10009,2024-01-19,3,0,0,HDP,HDP Station,110,114.74975124488766,4.749751244887659,117.77164538080577,2,4,1,1,0,1,1,1,1,0,6,210,0.0,0.0
10009,2024-01-19,4,0,0,BSL,BSL Station,697,699.4652018650839,2.465201865083885,94.76592524242898,3,4,11,11,0,0,0,-1,1,0,5,1063,0.0,0.0
10009,2024-01-19,5,0,0,AK,AK Station,1293,1295.7240957668864,2.724095766886532,82.76218057533993,2,4,21,21,0,0,0,0,1,0,4,467,0.0,0.0
10009,2024-01-19,6,0,0,MAS,MAS Station,28,32.83330501931191,4.833305019311905,46.51352871826706,8,4,0,0,0,0,0,0,1,0,3,292,2.0,2.0
10009,2024-01-19,7,0,0,JP,JP Station,1076,1076.8837242043912,0.883724204391326,79.50959467440452,8,4,17,17,2,0,0,0,1,0,2,684,0.0,-2.0
10009,2024-01-19,8,0,0,AMI,AMI Station,934,938.2207958621854,4.220795862185408,71.19172450864195,5,4,15,15,0,2,2,2,2,0,1,826,0.0,0.0
10010,2024-01-15,1,1,0,AMI,AMI Station,120,122.21591546922144,2.2159154692214407,0.0,2,0,2,2,13,0,0,0,13,13,7,851,5.0,-8.0
10010,2024-01-15,2,0,0,MUMBAI,MUMBAI Station,1282,1286.7778154372663,4.777815437266334,76.59921612889306,6,0,21,21,5,13,13,13,13,13,6,1129,0.0,-5.0
10010,2024-01-15,3,0,0,HDP,HDP Station,503,506.708594964259,3.7085949642590372,93.32830297525777,7,0,8,8,0,5,5,-8,13,9,5,468,0.0,0.0
10010,2024-01-15,4,0,0,BPL,BPL Station,856,862.4177180922826,6.417718092282609,34.31991542395956,9,0,14,14,0,0,0,-5,13,6,4,115,0.0,0.0
10010,2024-01-15,5,0,0,MAS,MAS Station,381,386.4311520352009,5.4311520352009115,64.2310524048535,6,0,6,6,0,0,0,0,13,4,3,590,0.0,0.0
10010,2024-01-15,6,0,0,JP,JP Station,740,742.9876451494068,2.987645149406883,117.18315254421115,7,0,12,12,0,0,0,0,13,3,2,231,0.0,0.0
10010,2024-01-15,7,0,0,NGP,NGP Station,1061,1061.0,0.0,81.51568869576428,8,0,17,17,0,0,0,0,13,3,1,1350,0.0,0.0
10011,2024-01-16,1,1,0,HDP,HDP Station,70,74.71459885433488,4.714598854334878,0.0,7,1,1,1,15,0,0,0,15,15,11,1098,14.0,-1.0
10011,2024-01-16,2,0,0,BSL,BSL Station,1174,1175.6743333167035,1.6743333167035972,87.44608298778456,6,1,19,19,14,15,15,15,15,15,10,1434,18.0,4.0
10011,2024-01-16,3,0,0,MAS,MAS Station,175,178.91135029649703,3.9113502964970377,59.616400340276456,2,1,2,2,18,14,14,-1,15,14,9,993,7.0,-11.0
10011,2024-01-16,4,0,0,MUMBAI,MUMBAI Station,25,27.855910150413024,2.8559101504130253,47.61285263922716,1,1,0,0,7,18,18,4,18,15,8,1143,1.0,-6.0
10011,2024-01-16,5,0,0,JP,JP Station,642,643.5829639686954,1.5829639686953545,136.05823795446224,1,1,10,10,1,7,7,-11,18,13,7,526,10.0,9.0
10011,2024-01-16,6,0,0,BPL,BPL Station,1209,1211.0116523670356,2.011652367035696,94.35015811387122,8,1,20,20,10,1,1,-6,18,11,6,1399,7.0,-3.0
10011,2024-01-16,7,0,0,AK,AK Station,967,971.9267995509008,4.926799550900841,103.78072406429945,2,1,16,16,7,10,10,9,18,10,5,201,4.0,-3.0
10011,2024-01-16,8,0,0,NGP,NGP Station,971,974.0170227184643,3.017022718464329,98.59236438265171,5,1,16,16,4,7,7,-3,18,10,4,197,1.0,-3.0
10011,2024-01-16,9,0,0,PUNE,PUNE Station,477,478.90058982183166,1.900589821831686,82.77078550481137,7,1,7,7,1,4,4,-3,18,9,3,691,0.0,-1.0
10012,2024-01-17,1,1,0,HDP,HDP Station,511,515.8347564258872,4.834756425887186,0.0,5,2,8,8,0,0,0,0,0,0,11,645,0.0,0.0
10012,2024-01-17,2,0,0,BPL,BPL Station,896,896.5918865132231,0.5918865132231566,101.35706947542543,4,2,14,14,0,0,0,0,0,0,10,260,0.0,0.0
10012,2024-01-17,3,0,0,PUNE,PUNE Station,1020,1022.0031976055367,2.0031976055366814,81.59626365808285,2,2,17,17,0,0,0,0,0,0,9,136,4.0,4.0
10012,2024-01-17,4,0,0,AK,AK Station,617,617.0994825483386,0.09948254833865988,65.85208336707251,8,2,10,10,4,0,0,0,0,0,8,539,0.0,-4.0
10012,2024-01-17,5,0,0,MAS,MAS Station,672,674.6790167336617,2.6790167336617365,87.01621680482562,6,2,11,11,0,4,4,4,4,1,7,484,0.0,0.0
10012,2024-01-17,6,0,0,AMI,AMI Station,1430,1430.645059493514,0.6450594935139855,91.47925928147136,3,2,23,23,0,0,0,-4,4,0,6,1166,5.0,5.0
10012,2024-01-17,7,0,0,JP,JP Station,1205,1207.1667843212597,2.166784321259618,100.30545705973532,9,2,20,20,5,0,0,0,4,0,5,1391,5.0,0.0
10012,2024-01-17,8,0,0,MUMBAI,MUMBAI Station,1039,1044.1307563719847,5.130756371984782,78.58507412501048,6,2,17,17,5,5,5,5,5,1,4,117,0.0,-5.0
10012,2024-01-17,9,0,0,NGP,NGP Station,835,837.4351710234666,2.4351710234666015,45.08665602012328,9,2,13,13,0,5,5,0,5,1,3,321,0.0,0.0
10013,2024-01-18,1,1,0,MUMBAI,MUMBAI Station,384,390.02533131628036,6.025331316280374,0.0,5,3,6,6,0,0,0,0,0,0,6,957,0.0,0.0
10013,2024-01-18,2,0,0,BSL,BSL Station,1364,1367.8915532133847,3.8915532133847544,86.65763839366291,7,3,22,22,0,0,0,0,0,0,5,1417,0.0,0.0
10013,2024-01-18,3,0,0,HDP,HDP Station,257,260.627378832179,3.6273788321790006,98.00824058476874,1,3,4,4,0,0,0,0,0,0,4,1084,0.0,0.0
10013,2024-01-18,4,0,0,AK,AK Station,450,453.0696548222342,3.0696548222342233,85.57605336548401,7,3,7,7,0,0,0,0,0,0,3,891,0.0,0.0
10013,2024-01-18,5,0,0,MAS,MAS Station,1180,1182.8570567014197,2.857056701419572,95.58043051540679,2,3,19,19,0,0,0,0,0,0,2,161,0.0,0.0
10013,2024-01-18,6,0,0,PUNE,PUNE Station,446,449.6127685225661,3.6127685225661392,99.80839143405532,6,3,7,7,0,0,0,0,0,0,1,895,0.0,0.0
10014,2024-01-19,1,1,0,HDP,HDP Station,1353,1356.5658178125968,3.5658178125967814,0.0,7,4,22,22,0,0,0,0,0,0,9,1093,0.0,0.0
10014,2024-01-19,2,0,0,BPL,BPL Station,1408,1410.733389517769,2.733389517768891,106.68171437216606,4,4,23,23,0,0,0,0,0,0,8,1038,9.0,9.0
10014,2024-01-19,3,0,0,AK,AK Station,610,612.6663808323167,2.6663808323166514,67.06082742533121,6,4,10,10,9,0,0,0,0,0,7,396,1.0,-8.0
10014,2024-01-19,4,0,0,MUMBAI,MUMBAI Station,116,117.39487285051077,1.394872850510771,53.06455131057197,6,4,1,1,1,9,9,9,9,3,6,890,3.0,2.0
10014,2024-01-19,5,0,0,MAS,MAS Station,933,934.1226908637143,1.1226908637143338,118.87529208146519,9,4,15,15,3,1,1,-8,9,2,5,73,5.0,2.0
10014,2024-01-19,6,0,0,NGP,NGP Station,688,690.9566126737377,2.956612673737695,104.15431082499241,4,4,11,11,5,3,3,2,9,2,4,318,12.0,7.0
10014,2024-01-19,7,0,0,JP,JP Station,1142,1144.0250401822047,2.025040182204795,108.74447243069699,4,4,19,19,12,5,5,2,9,3,3,1304,0.0,-12.0
10014,2024-01-19,8,0,0,BSL,BSL Station,1088,1093.2515582600067,5.251558260006691,89.19684098711313,6,4,18,18,0,12,12,7,12,4,2,1358,0.0,0.0
10014,2024-01-19,9,0,0,AMI,AMI Station,352,352.8198602540884,0.819860254088391,129.30655016907423,2,4,5,5,0,0,0,-12,12,3,1,654,3.0,3.0
10015,2024-01-15,1,1,0,MUMBAI,MUMBAI Station,1185,1187.994596191364,2.9945961913641472,0.0,6,0,19,19,0,0,0,0,0,0,8,1232,0.0,0.0
10015,2024-01-15,2,0,0,AK,AK Station,499,503.77512137430875,4.77512137430878,76.78585503485729,9,0,8,8,0,0,0,0,0,0,7,478,0.0,0.0
10015,2024-01-15,3,0,0,PUNE,PUNE Station,689,690.8292889905119,1.8292889905119847,69.96759980210169,2,0,11,11,0,0,0,0,0,0,6,288,8.0,8.0
10015,2024-01-15,4,0,0,BPL,BPL Station,453,456.15264610948145,3.152646109481438,84.5193637150411,9,0,7,7,8,0,0,0,0,0,5,524,9.0,1.0
10015,2024-01-15,5,0,0,BSL,BSL Station,731,736.0747175013084,5.074717501308411,97.86526302767355,7,0,12,12,9,8,8,8,8,2,4,246,3.0,-6.0
10015,2024-01-15,6,0,0,HDP,HDP Station,919,925.2338273632367,6.233827363236694,113.44478493516787,2,0,15,15,3,9,9,1,9,3,3,58,0.0,-3.0
10015,2024-01-15,7,0,0,NGP,NGP Station,251,253.96384268277126,2.963842682771248,76.97163992771104,3,0,4,4,0,3,3,-6,9,3,2,726,0.0,0.0
10015,2024-01-15,8,0,0,JP,JP Station,1425,1426.4526356296947,1.4526356296947631,79.4140352490756,2,0,23,23,0,0,0,-3,9,2,1,992,5.0,5.0
10016,2024-01-16,1,1,0,BPL,BPL Station,657,659.275220306551,2.275220306550939,0.0,4,1,10,10,17,0,0,0,17,17,5,463,23.0,6.0
10016,2024-01-16,2,0,0,MUMBAI,MUMBAI Station,103,106.04289516507751,3.0428951650775162,121.60465174701642,5,1,1,1,23,17,17,17,17,17,4,1017,11.0,-12.0
10016,2024-01-16,3,0,0,AMI,AMI Station,95,98.6183276033659,3.6183276033659,57.34095438916033,6,1,1,1,11,23,23,6,23,20,3,1025,9.0,-2.0
10016,2024-01-16,4,0,0,JP,JP Station,1262,1267.2148105245888,5.214810524588843,117.60182708294903,7,1,21,21,9,11,11,-12,23,17,2,1298,0.0,-9.0
10016,2024-01-16,5,0,0,PUNE,PUNE Station,1303,1304.9715845783774,1.9715845783772883,94.6128182052873,6,1,21,21,0,9,9,-2,23,15,1,1257,0.0,0.0
10017,2024-01-17,1,1,0,HDP,HDP Station,480,483.35279974328205,3.3527997432820515,0.0,7,2,8,8,1,0,0,0,1,1,11,806,0.0,-1.0
10017,2024-01-17,2,0,0,AK,AK Station,1230,1233.5197558225962,3.519755822596074,91.53643782120511,9,2,20,20,0,1,1,1,1,1,10,56,0.0,0.0
10017,2024-01-17,3,0,0,MUMBAI,MUMBAI Station,964,967.9733863157605,3.9733863157604934,62.1600732562398,9,2,16,16,0,0,0,-1,1,0,9,322,0.0,0.0
10017,2024-01-17,4,0,0,BPL,BPL Station,276,278.47611344352237,2.476113443522357,100.0763139117911,8,2,4,4,0,0,0,0,1,0,8,1010,0.0,0.0
10017,2024-01-17,5,0,0,MAS,MAS Station,1435,1439.5454251810477,4.545425181047763,94.77578318053027,2,2,23,23,0,0,0,0,1,0,7,1291,0.0,0.0
10017,2024-01-17,6,0,0,JP,JP Station,396,398.17357782830186,2.1735778283018594,87.38168054460502,5,2,6,6,0,0,0,0,1,0,6,890,9.0,9.0
10017,2024-01-17,7,0,0,NGP,NGP Station,48,53.573634012009364,5.573634012009368,105.43763990070863,2,2,0,0,9,0,0,0,1,0,5,1238,6.0,-3.0
10017,2024-01-17,8,0,0,PUNE,PUNE Station,649,651.680296994999,2.680296994999018,91.35507145524325,2,2,10,10,6,9,9,9,9,1,4,637,0.0,-6.0
10017,2024-01-17,9,0,0,AMI,AMI Station,163,164.40165441270247,1.4016544127024617,91.83611549161347,5,2,2,2,0,6,6,-3,9,2,3,1123,9.0,9.0
10018,2024-01-18,1,1,0,JP,JP Station,812,816.507713859917,4.507713859917027,0.0,9,3,13,13,2,0,0,0,2,2,9,1121,5.0,3.0
10018,2024-01-18,2,0,0,NGP,NGP Station,192,194.09349214583003,2.0934921458300404,83.4659201004435,9,3,3,3,5,2,2,2,2,2,8,301,7.0,2.0
10018,2024-01-18,3,0,0,MAS,MAS Station,918,920.791706119208,2.7917061192079924,83.60886475361839,7,3,15,15,7,5,5,3,5,3,7,1015,0.0,-7.0
10018,2024-01-18,4,0,0,BSL,BSL Station,680,681.3555873696572,1.3555873696571972,61.198982348114114,9,3,11,11,0,7,7,2,7,4,6,1253,8.0,8.0
10018,2024-01-18,5,0,0,BPL,BPL Station,828,833.3288427232345,5.328842723234462,46.97540764258661,3,3,13,13,8,0,0,-7,7,3,5,1105,7.0,-1.0
10018,2024-01-18,6,0,0,AMI,AMI Station,405,409.9037657738147,4.903765773814694,103.95474256298908,2,3,6,6,7,8,8,8,8,4,4,88,0.0,-7.0
10018,2024-01-18,7,0,0,MUMBAI,MUMBAI Station,1347,1350.087602208154,3.087602208154002,62.20855066472808,4,3,22,22,0,7,7,-1,8,4,3,586,3.0,3.0
10018,2024-01-18,8,0,0,PUNE,PUNE Station,102,106.01995961327513,4.019959613275134,101.5093733498886,9,3,1,1,3,0,0,-7,8,4,2,391,0.0,-3.0
10018,2024-01-18,9,0,0,HDP,HDP Station,970,973.4217871359541,3.4217871359540637,65.65390288273974,3,3,16,16,0,3,3,3,8,4,1,963,4.0,4.0
10019,2024-01-19,1,1,0,NGP,NGP Station,1386,1388.0738300813114,2.073830081311353,0.0,7,4,23,23,0,0,0,0,0,0,5,1038,2.0,2.0
10019,2024-01-19,2,0,0,MAS,MAS Station,888,891.8265559533638,3.826555953363806,58.14012532936661,4,4,14,14,2,0,0,0,0,0,4,96,2.0,0.0
10019,2024-01-19,3,0,0,HDP,HDP Station,366,368.3075556146153,2.3075556146153087,113.04665217483009,9,4,6,6,2,2,2,2,2,1,3,618,3.0,1.0
10019,2024-01-19,4,0,0,AK,AK Station,1208,1214.3756821517245,6.375682151724405,68.81215739060113,8,4,20,20,3,2,2,0,2,1,2,1216,5.0,2.0
